Code SINOE EPCI adherant,Nom adherant,Code sinoe SYNDICAT,Nom syndicat
1455,Cc du Pays de Cruseilles,889,Syndicat Mixte du Lac dAnnecy
2402,Communauté de Communes Vallees de Thones,889,Syndicat Mixte du Lac dAnnecy
404,Communauté de Communes Sources du Lac dAnnecy,889,Syndicat Mixte du Lac dAnnecy
57721,Communauté dAgglomération du Grand Annecy,889,Syndicat Mixte du Lac dAnnecy
17728,Communauté dAgglomération Versailles Grand Parc,897,Sidompe de Plaisir
20384,Communauté de Communes Coeur dYvelines,897,Sidompe de Plaisir
53219,Communauté de Communes Gally Mauldre,897,Sidompe de Plaisir
56659,Communauté dAgglomération de Saint-quentin-en-yvelines,897,Sidompe de Plaisir
59527,Communauté de Communes Tarn-agout,905,Smictom de la Région de Lavaur
57792,Communauté de Communes Val 81,910,Sictom du Secteur de Valence Valderies
57594,Communauté de Communes Pays de Fontenay-vendée,918,Sycodem Sud Vendée
919,Communauté de Communes Vendee Sevre Autise,918,Sycodem Sud Vendée
52942,Communauté de Communes du Pays de Saint-yrieix,922,Sictom Sud Haute-vienne
57857,Communauté de Communes Briance Sud Haute Vienne,922,Sictom Sud Haute-vienne
57696,Communauté de Communes Val de Saône Centre,930,Smidom  Veyle Saône
42677,Communauté de Communes Flandre Lys,942,Smictom des Flandres
57783,Communauté de Communes Aure Louron,961,Smectom du Plateau de Lannemezan, des Nestes et des Côteaux
57787,Communauté de Communes du Plateau de Lannemezan Neste-baronnies-baïses,961,Smectom du Plateau de Lannemezan, des Nestes et des Côteaux
1535,Communauté de Communes du Pays de la Zorn,966,Syndicat Mixte de Traitement des Om de Haguenau-saverne
57072,Communauté de Communes du Pays Rhénan,966,Syndicat Mixte de Traitement des Om de Haguenau-saverne
57643,Communauté dAgglomération de Haguenau,966,Syndicat Mixte de Traitement des Om de Haguenau-saverne
671,Communauté de Communes de la Basse-zorn,966,Syndicat Mixte de Traitement des Om de Haguenau-saverne
1243,Communauté de Communes du Pays dHericourt,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
2415,Communauté de Communes du Pays de Lure,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
2418,Communauté dAgglomération de Vesoul,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
8103,Communauté de Communes Doubs Baumois,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
9070,Communauté de Communes des Quatre Rivieres,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
9147,Communauté de Communes du Pays de Luxeuil,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
9152,Communauté de Communes du Pays Riolais,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
9157,Communauté de Communes des 1000 étangs,974,Sytevom Syndicat Mixte à Vocation Unique pour la Valorisation et lElimination des Om de Haute Saone
56983,Communauté de Communes du Clunisois,977,Sirtom de la Vallée de la Grosne
57578,Communauté de Communes Saint Cyr Mère Boitier Entre Charolais et Mâconnais,977,Sirtom de la Vallée de la Grosne
16674,Tours Métropole Val de Loire,986,Sm Touraine Propre
2124,Smictom dAmboise,986,Sm Touraine Propre
57773,Communauté de Communes Loches Sud Touraine,986,Sm Touraine Propre
57777,Communauté de Communes Touraine Vallée de lIndre,986,Sm Touraine Propre
57778,Communauté de Communes Touraine-est Vallées,986,Sm Touraine Propre
57779,Communauté de Communes de Gâtine et Choisilles - Pays de Racan,986,Sm Touraine Propre
3613,Communauté de Communes de Mimizan,993,Sivom des Cantons du Pays de Born
57903,Communauté de Communes Coeur Haute Lande,993,Sivom des Cantons du Pays de Born
6141,Communauté de Communes des Grands Lacs,993,Sivom des Cantons du Pays de Born
56146,Communauté de Communes du Haut Lignon,998,Sictom Entre Monts et Vallees
56148,Communauté de Communes du Pays de Montfaucon,998,Sictom Entre Monts et Vallees
56494,Communauté de Communes Valeyrieux,998,Sictom Entre Monts et Vallees
57715,Communauté de Communes Mézenc-loire-meygal,998,Sictom Entre Monts et Vallees
280,Communauté Urbaine Angers Loire Métropole,1006,Sictom Loir et Sarthe
57545,Communauté de Communes Anjou Loir et Sarthe,1006,Sictom Loir et Sarthe
1045,Communauté de Communes des Vallées de la Tille et de lIgnon,1044,Syndicat Mixte des Ordures Ménagères
56519,Communauté de Communes Forêts Seine et Suzon,1044,Syndicat Mixte des Ordures Ménagères
57538,Communauté de Communes Mirebellois et Fontenois,1044,Syndicat Mixte des Ordures Ménagères
57539,Communauté de Communes Tille et Venelle,1044,Syndicat Mixte des Ordures Ménagères
543,Communauté dAgglomération du Grand Gueret,1048,Evolis 23 (siers)
56034,Communauté de Communes Portes de la Creuse en Marche,1048,Evolis 23 (siers)
57875,Communauté de Communes Monts et Vallées Ouest Creuse,1048,Evolis 23 (siers)
1060,Concarneau Cornouaille Agglomération,1059,Valcor
1337,Communauté dAgglomération Quimperlé Communauté,1059,Valcor
1645,Communauté de Communes du Pays Fouesnantais,1059,Valcor
316,Communauté de Communes du Haut Pays Bigouden,1059,Valcor
592,Communauté de Communes du Cap Sizun - Pointe du Raz,1059,Valcor
777,Douarnenez Communauté,1059,Valcor
57385,Communauté de Communes Coeur et Coteaux du Comminges,1068,Sivom de Saint-gaudens Montréjeau Aspet Magnoac
57785,Communauté de Communes du Pays de Trie et du Magnoac,1068,Sivom de Saint-gaudens Montréjeau Aspet Magnoac
854,Bordeaux Metropole,1072,Sivom de la Rive Droite de Bordeaux
2318,Cc des Marchés du Périg Or Limousin, Thiviers-jumilhac,1084,Smctom de Thiviers
56058,Communauté de Communes Isle-loue-auvézère en Périgord,1084,Smctom de Thiviers
56427,Communauté de Communes du Terrassonnais en Périgord Noir Thenon Hautefort,1084,Smctom de Thiviers
56473,Communauté de Communes Dombes-saône Vallée,1087,Smictom Saône Dombes
57822,Communauté de Communes Seulles Terre et Mer,1118,Sidom de Creully
22265,Communauté de Communes du Pont du Gard,1130,Sitom Sud Gard
28926,Communauté dAgglomération Nîmes Métropole,1130,Sitom Sud Gard
3993,Communauté de Communes de Petite Camargue,1130,Sitom Sud Gard
55551,Communauté de Communes du Piémont Cévenol,1130,Sitom Sud Gard
